class,n_x,precision,recall,f1,tp,fp,fn,n_y,si_sdr_mix,si_sdr_model,si_sdri,advantage,out_in,correct_energy,wrong_energy
brushing_teeth,50,1.0,0.44,0.6111111111111112,22,0,28,5,3.72979736328125,-4.924021673202515,-8.653819036483764,533426.5707786679,0.9999688631801816,8.434020042419434,1.5809993854531967e-05
church_bells,47,0.9130434782608695,0.8936170212765957,0.9032258064516129,42,4,5,3,39.279120127360024,22.92661492029826,-16.352505207061764,4312421.218485593,0.9999999998846861,13.531217575073242,3.1367302338510448e-06
clapping,39,0.9629629629629629,0.6666666666666666,0.7878787878787878,26,1,13,9,40.86773994233873,12.076700819863213,-28.791039122475517,911056.7564483824,0.9999999992991991,1.36228609085083,1.4942796155992255e-06
clock_alarm,61,1.0,0.8852459016393442,0.9391304347826086,54,0,7,4,0.41631773114204407,10.804509907960892,10.388192176818848,64707.52266297904,0.9999999997779876,6.067099571228027,9.375944024103688e-05
coughing,47,0.8,0.1702127659574468,0.2807017543859649,8,2,39,4,-24.093928337097168,-18.972050666809082,5.121877670288086,0.0,0.0,0.0,0.0
crow,66,0.9722222222222222,0.5303030303030303,0.6862745098039216,35,1,31,4,8.363457202911377,11.350213050842285,2.986755847930908,7019915.244182429,0.999999999707296,10.052196502685547,1.430953908569214e-06
crying_baby,53,0.9230769230769231,0.6792452830188679,0.7826086956521738,36,3,17,7,25.716755256056786,9.71334719657898,-16.003408059477806,46155.15074034363,0.9999999997693293,7.423230171203613,0.00016082762312249108
gun_shot,37,0.7391304347826086,0.4594594594594595,0.5666666666666667,17,6,20,4,-16.391042709350586,-16.757242679595947,-0.36619997024536133,51587.03934964843,0.999999999932451,11.86662483215332,0.00023002566863776033
hand_saw,44,0.9696969696969697,0.7272727272727273,0.8311688311688312,32,1,12,3,-5.802377382914226,-4.954404910405477,0.847972472508749,690581.3156678547,0.9999999995490152,2.4216794967651367,3.505720984337916e-06
helicopter,39,0.9722222222222222,0.8974358974358975,0.9333333333333333,35,1,4,8,20.94624075293541,15.409416928887367,-5.536823824048042,6.656912228749546,0.9555105931873893,9.392125129699707,1.2266204499220996
rain,50,0.9,0.54,0.675,27,3,23,7,19.218384436198644,1.1915872607912337,-18.02679717540741,1543.8452115174384,0.999916906921772,18.959932327270508,0.01227302945438898
sea_waves,59,0.9024390243902439,0.6271186440677966,0.74,37,4,22,5,24.233784770965578,7.006158828735352,-17.227625942230226,22707324.361595538,0.9999998788207844,8.824506759643555,3.8761938251733835e-07
sneezing,50,0.5454545454545454,0.12,0.19672131147540983,6,5,44,4,-16.493783950805664,-12.061771154403687,4.4320127964019775,18446.353504024173,0.999999999841308,2.069363594055176,0.00011217571925697944
toilet_flush,45,0.8947368421052632,0.37777777777777777,0.53125,17,2,28,12,25.691186579254765,3.613635301589966,-22.0775512776648,10334.7823792242,0.9999999996807291,4.354990482330322,0.00042134982991726133
vacuum_cleaner,45,0.975,0.8666666666666667,0.9176470588235294,39,1,6,10,47.58986415863037,20.468060207366943,-27.121803951263427,18788781.81180111,0.566919335343854,5.746487140655518,3.0484669582992824e-07
